intake date,Kennel,AID,name,sx,description,dob,Age,hold?,reason,level
2023-04-03,A01,A897627,BRAZOR,N,TRICOLOR  PIT BULL MIX,2021-04-03,2 years 2 months,,,L1
2023-06-13,A01,A899657,HAPPY JACK,M,BLACK  LABRADOR RETR,2022-08-13,0 years 10 months,,,L1
2023-06-13,A01,A899667,JAY-Z,M,BLACK  AM PIT BULL TER,2021-06-13,2 years 0 months,,,L1
2023-06-08,A02,A899484,CHICKPEA,F,GRAY / WHITE  PIT BULL,2021-06-08,2 years 0 months,,,L1
2023-06-09,A02,A899530,LOVEY,F,BLACK  AM PIT BULL TER,2021-12-10,1 years 6 months,,,L1
2023-03-25,A02,A888961,SHIGH,F,BLACK  PIT BULL MIX,2021-04-03,2 years 2 months,Y,COURT,L1
2023-04-16,A02,A897943,CARMELLA,S,BR BRINDLE  PIT BULL,2021-04-16,2 years 1 months,,,L1
2023-05-10,A03,A898503,DEBBIE,F,TAN / WHITE  PIT BULL,2021-05-10,2 years 1 months,,,
2023-03-24,A03,A897395,BLUE,N,GRAY / WHITE  AM PIT BULL TER,2021-03-24,2 years 2 months,,,L1
2023-04-05,A03,A897689,THUNDER,F,BLONDE / WHITE  AM PIT BULL TER,2021-04-05,2 years 2 months,,,L1
2023-03-05,A03,A896215,EARL,N,CHOCOLATE / WHITE  ENG POINTER,2019-02-07,4 years 4 months,,,L1
2023-04-02,A04,A897624,LALA,F,BL BRINDLE  PIT BULL,2018-04-04,5 years 2 months,,,L1
2023-04-10,A04,A897820,LEMON CAKE,F,BLACK / WHITE  PIT BULL MIX,2018-04-10,5 years 2 months,,,L1
2023-03-13,A04,A897079,LADY,F,BLACK / WHITE  BOXER / BOSTON TERRIER,2018-03-11,5 years 3 months,,,L2-OA
2023-03-17,A04,A897225,SAPHIRE,S,GRAY / WHITE  PIT BULL,2021-09-17,1 years 9 months,,,L1
2023-03-15,A05,A897171,SUNNY,F,WHITE / BLACK  PIT BULL,2021-03-15,2 years 3 months,,,L2-OA
2023-03-09,A05,A897012,ORCHID,F,BROWN / WHITE  PIT BULL,2022-03-09,1 years 3 months,,,L1
2022-12-05,A05,A893583,MERCUTIO,N,BLACK / BROWN  GERM SHEPHERD MIX,2019-09-30,3 years 8 months,Y,MUSTREAD,L1
2023-02-20,A06,A896626,IRVING,S,BROWN / WHITE  AM PIT BULL TER,2022-02-20,1 years 3 months,,,L1
2023-03-26,A06,A897439,BEAU,N,BLACK  PIT BULL,2020-03-26,3 years 2 months,,,L1
2023-04-08,A06,A897788,MARIO,N,BLACK  PIT BULL / LABRADOR RETR,2021-04-08,2 years 2 months,,,L1
2023-04-06,A07,A897710,DAVID,N,BL BRINDLE  PIT BULL,2021-04-06,2 years 2 months,,,L1
2023-04-04,A07,A897654,GHOST YATES,N,WHITE  PIT BULL,2021-04-04,2 years 2 months,,,L1
2023-03-22,A07,A897342,OLIVE OIL,N,GRAY / WHITE  AMER BULLDOG,2020-03-22,3 years 2 months,,,L1
2023-04-17,A07,A897950,HART,N,BLACK / WHITE  PIT BULL,2019-04-17,4 years 1 months,,,L1
2023-04-11,A08,A897848,BUN,N,GRAY / WHITE  AM PIT BULL TER,2019-04-11,4 years 2 months,,,L1-SH
2023-04-25,A08,A898166,MEREDITH PALMER,F,TAN / WHITE  AM PIT BULL TER / BOXER,2021-04-26,2 years 1 months,,,L1
2023-03-31,A08,A897549,TRICIA,F,BR BRINDLE / WHITE  PIT BULL,2019-03-31,4 years 2 months,,,L1
2023-02-18,A08,A896620,RITA,F,BLACK / WHITE  AM PIT BULL TER,2018-02-18,5 years 3 months,,,L2-BH
2023-03-10,A09,A897042,LOCA,N,TAN / WHITE  PIT BULL,2022-05-10,1 years 1 months,,,L2-OA
2023-03-24,A09,A897385,SASHA,S,BLACK / WHITE  AM PIT BULL TER,2012-03-24,11 years 2 months,,,L1
2023-06-07,A09,A899473,LIZZIE,S,TAN / WHITE  AM PIT BULL TER,2021-06-11,2 years 0 months,Y,MICROCHIP,L1
2023-06-13,A09,A899660,ASHER,M,BLACK / TAN  GERM SHEPHERD,2014-06-14,9 years 0 months,Y,MICROCHIP,L1
2023-02-13,A10,A896488,DRACO,N,WHITE / BROWN  AM PIT BULL TER,2021-02-13,2 years 4 months,,,L1
2023-02-05,A10,A896199,JOSE,N,BROWN / WHITE  STAFFORDSHIRE,2021-02-06,2 years 4 months,,,L1
2023-04-26,A10,A898168,HARLEY QUINN,F,GRAY / WHITE  PIT BULL,2019-04-26,4 years 1 months,,,L1
2023-04-19,A10,A887294,PEPPER,S,BROWN  BASENJI MIX,2021-08-29,1 years 9 months,,,L1
2023-04-17,A10,A897948,MURIEL,F,GRAY / WHITE  AM PIT BULL TER,2020-04-18,3 years 1 months,,,L1
2023-04-23,A11,A898091,SMITH,N,WHITE / GRAY  LABRADOR RETR MIX,2019-04-24,4 years 1 months,,,L1
2023-02-13,A11,A896457,RADISH,N,GRAY  PIT BULL MIX,2021-03-01,2 years 3 months,,,L1
2023-02-19,A11,A896175,FERNANDA,S,BROWN / BLACK  LABRADOR RETR MIX,2021-02-04,2 years 4 months,,,L1
2023-02-27,A11,A896791,MINNOW,N,FAWN  PIT BULL,2021-03-01,2 years 3 months,,,L2-RG/SH/OA
2023-03-13,A11,A897114,NEMO,N,BLACK / WHITE  LABRADOR RETR MIX,2021-03-13,2 years 3 months,,,L1
2023-04-07,A12,A897747,PARAGUAY,N,BLACK / WHITE  LABRADOR RETR,2022-04-08,1 years 2 months,,,L1
2023-03-03,A12,A896884,MINERVA,S,TAN / WHITE  PIT BULL,2022-03-04,1 years 3 months,,,L1
2023-03-07,A12,A896984,LASLO,N,WHITE / BLACK  AM PIT BULL TER,2020-03-07,3 years 3 months,,,L1
2023-02-16,A12,A896068,SCOTTY,N,WHITE / BLACK  PIT BULL,2020-01-31,3 years 4 months,,,L2-RG/SINGLE
2023-04-26,A12,A895175,JACK FROST,N,TAN  BOXER / PIT BULL,2015-12-11,7 years 6 months,,,L1
2023-04-24,A13,A897396,CLAUDIA,S,BLACK / WHITE  PIT BULL,2015-04-07,8 years 2 months,,,L1
2023-03-02,A13,A896851,BASTIAN,N,BLACK / WHITE  PIT BULL,2020-03-02,3 years 3 months,,,L1-FJ
2022-12-08,A13,A895108,JENSEN,N,WHITE / BLACK  PIT BULL,2019-12-08,3 years 6 months,,,L1
2023-04-08,A13,A897789,LUIGI,N,BLACK  PIT BULL / LABRADOR RETR,2020-04-11,3 years 2 months,,MUSTREAD,L1
2023-04-02,A13,A897277,STETSON,N,BLACK / WHITE  LABRADOR RETR,2016-03-20,7 years 2 months,,,L1
2023-03-05,A14,A896935,GINNY,S,CHOCOLATE  AM PIT BULL TER / LABRADOR RETR,2021-03-06,2 years 3 months,,,L1
2023-03-15,A14,A897163,PEONY,F,GRAY / WHITE  PIT BULL,2020-03-15,3 years 3 months,,,L1
2023-05-23,A14,A896635,FUZZY,S,BL BRINDLE  CANE CORSO MIX,2022-04-21,1 years 1 months,,,L1/OA
2023-06-10,A14,A899540,GEORGIA,F,GRAY / WHITE  PIT BULL,2018-06-11,5 years 0 months,Y,MICROCHIP,L1
2023-04-24,A15,A898125,IVORI,S,BL BRINDLE  AUST SHEPHERD / AM PIT BULL TER,2021-04-25,2 years 1 months,,,L1
2023-04-28,A15,A898254,DR. PEPPER,N,TAN / WHITE  PIT BULL,2020-04-28,3 years 1 months,,,L1
2023-05-03,A15,A898363,XEUS,N,TRICOLOR  AMER BULLDOG,2021-05-04,2 years 1 months,,,L1
2023-04-10,A15,A897818,VENUS,N,BROWN / WHITE  AM PIT BULL TER,2020-04-10,3 years 2 months,,,L1
2023-03-20,A16,A897286,TOBY,N,BROWN / BL BRINDLE  PIT BULL,2022-03-20,1 years 2 months,,,L1
2023-02-16,A16,A895651,RUPA,S,WHITE  PIT BULL,2021-01-09,2 years 5 months,,,L1
2023-06-09,A16,A899518,ISA,F,BLACK / WHITE  AM PIT BULL TER,2020-06-11,3 years 0 months,Y,MICROCHIP,L1
2023-06-13,A16,A899646,SOUR CHERRY,F,BROWN / GRAY  PIT BULL,2021-06-13,2 years 0 months,,,L1
2023-04-01,A17,A897605,DUSTY,N,WHITE / BROWN  AM PIT BULL TER,2017-04-02,6 years 2 months,,,L1
2023-04-25,A17,A898143,KHLOE,S,TAN / BLACK  ANATOL SHEPHERD,2015-04-25,8 years 1 months,,,L1
2023-04-11,A17,A897846,DARLING,F,BLACK / WHITE  AM PIT BULL TER,2022-07-12,0 years 11 months,,,L1
2023-02-24,B01,A892839,JESS,S,BROWN  PIT BULL,2020-08-28,2 years 9 months,,,L2-H/OA/OD
2023-06-12,B01C,A899596,LEMON LIME,F,BROWN / WHITE  AM PIT BULL TER,2020-06-12,3 years 0 months,,,L1
2023-06-12,B01C,A899597,ISLAND PUNCH,F,TAN / WHITE  AM PIT BULL TER,2020-06-12,3 years 0 months,,,L1
2023-01-05,B02,A895599,CULLEN,N,WHITE / BLACK  PIT BULL,2019-01-05,4 years 5 months,,,L2-H/OA/SD
2023-02-04,B02C,A896170,SAM,N,TAN / BL BRINDLE  BOXER MIX,2022-02-04,1 years 4 months,,,L2-OA
2023-01-05,B03,A895605,SOHAN,M,TAN / BROWN  SIBERIAN HUSKY / PIT BULL,2021-07-05,1 years 11 months,Y,COURT,L2-OD/RG/BR
2023-01-15,B03C,A895757,BOSS,N,WHITE / BLACK  PIT BULL,2020-01-15,3 years 5 months,,,L1
2023-05-28,B04,A899094,JANICE,S,WHITE  SIBERIAN HUSKY MIX,2021-05-28,2 years 0 months,,,L1
2023-04-22,B05,A898084,NINA,F,BROWN / WHITE  PIT BULL,2020-04-22,3 years 1 months,,,L1-OD
2023-04-07,B05C,A897754,EGYPT,S,WHITE / BROWN  PIT BULL / BOXER,2020-04-07,3 years 2 months,,,L1-OD
2023-03-28,B06,A894522,LAWRENCE,N,BROWN / BLACK  AM PIT BULL TER MIX,2019-11-08,3 years 7 months,,,L2-OA/SINGLE/M&G
2023-05-05,B06C,A898405,BAXTER,M,BROWN  AM PIT BULL TER MIX,2019-05-06,4 years 1 months,,,L2-SF
2023-06-12,B07,A899569,SIENNA,F,BLACK  MASTIFF,2021-06-12,2 years 0 months,Y,OWNREQUEST,L1
2023-03-29,B07C,A897506,BROOK,N,BROWN / WHITE  PIT BULL,2022-03-29,1 years 2 months,,,L1
2023-04-11,B07C,A896490,CUPCAKE,S,TAN / WHITE  AM PIT BULL TER,2021-02-13,2 years 4 months,,,L2-RG
2023-03-21,B08,A897318,GENTLE BABY,S,BR BRINDLE / WHITE  LABRADOR RETR MIX,2022-03-22,1 years 2 months,,,L1
2023-04-26,B08,A898189,PENNY,F,BR BRINDLE / WHITE  AM PIT BULL TER / GREYHOUND,2021-04-26,2 years 1 months,,,L1
2023-04-22,B08,A898086,KIM,S,BROWN / FAWN  AM PIT BULL TER,2020-04-22,3 years 1 months,,,L1
2023-06-10,B08,A899535,PINK LADY,F,BROWN / BLACK  GERM SHEPHERD,2022-06-10,1 years 0 months,Y,MICROCHIP,L1
2023-05-04,B09,A898371,PHILLY,N,WHITE / BROWN  PIT BULL,2021-05-04,2 years 1 months,,,L1
2023-03-25,B09,A897419,FRED,N,BR BRINDLE / WHITE  PIT BULL MIX,2019-03-25,4 years 2 months,,,L1
2023-03-17,B09,A897233,ARCHIE,N,SABLE  PIT BULL MIX,2021-03-17,2 years 2 months,,,L1
2023-02-24,B09,A896725,POPPY,S,BR BRINDLE  PIT BULL,2019-02-24,4 years 3 months,,,L1-SINGLE
2023-03-23,B10,A895569,COFFEE,S,BLACK / WHITE  PIT BULL / BOXER,2021-01-03,2 years 5 months,,,L2-OA
2023-04-14,B10,A897913,SECIL,S,WHITE / BROWN  AM PIT BULL TER,2022-04-14,1 years 2 months,,,L1
2023-05-09,B10,A891089,IGGY POP,N,WHITE / BLACK  PIT BULL,2019-06-26,3 years 11 months,,,L2-H/OA
2023-06-12,B10,A899600,DAIQUIRI,F,GREEN / BLACK  PIT BULL,2016-06-12,7 years 0 months,,,L1
2023-05-07,B11,A898432,BARBADOS,N,WHITE / GRAY  PIT BULL,2021-05-07,2 years 1 months,,,L1
2023-03-24,B11,A897415,MCSTUFFIN,N,BLACK / WHITE  PIT BULL MIX,2021-03-24,2 years 2 months,,,L1
2023-02-21,B11,A896667,BET,S,BROWN  LABRADOR RETR,2021-02-21,2 years 3 months,,,L1
2023-02-26,B11,A896751,MAXIMUS,N,TRICOLOR  BULLMASTIFF / LABRADOR RETR,2021-02-26,2 years 3 months,,,L1
2023-03-31,B12,A897559,PEEWEE SHERMAN,N,BLACK / BROWN  LABRADOR RETR MIX,2022-05-31,1 years 0 months,,,L1
2023-04-24,B12,A898112,LILY,F,WHITE / BROWN  PIT BULL,2021-04-25,2 years 1 months,,,L1
2023-06-13,B12,A899668,BEYONCE,F,BLUE / WHITE  AMERICAN STAFF,2020-06-13,3 years 0 months,,,L1
2023-04-21,B13,A897960,GIRLFRIEND,S,BLACK / WHITE  MASTIFF,2020-10-21,2 years 7 months,,,L1
2023-04-04,B13,A897656,METEOR,N,BROWN / WHITE  PIT BULL,2019-04-04,4 years 2 months,,,L1
2023-06-14,C04,A899675,AMINA,F,GRAY TABBY / WHITE  DOMESTIC MH,,,,,
2023-06-12,C07,A899577,BRONWEN,F,GRAY TABBY  DOMESTIC SH,,,,,
2023-06-06,C10,A899460,NOVA,N,ORANGE / WHITE  DOMESTIC LH,2019-06-06,4 years 0 months,,,
2023-06-13,C12,A899647,CHLOE,F,ORG TABBY / WHITE  DOMESTIC SH,,,,,
2023-06-09,C14,A899515,OTIS,M,ORANGE  DOMESTIC SH,2020-06-09,3 years 0 months,,,
2023-06-06,C20,A899461,MIDNIGHT,M,BLACK / WHITE  DOMESTIC SH,2019-06-06,4 years 0 months,,,
2023-06-11,C23,A899555,CHARLESTON,M,ORANGE / WHITE  DOMESTIC SH,2020-06-11,3 years 0 months,Y,NEED RES,
2023-06-08,D01,A899485,CARAMEL CORN,M,BROWN / WHITE  LABRADOR RETR MIX,2022-06-08,1 years 0 months,,,L2/SF/A
2023-06-08,D01,A899486,DESERT SAND,M,BLACK / WHITE  LABRADOR RETR MIX,2022-08-08,0 years 10 months,,,L2-SF
2023-04-15,D02,A897925,COCONUT,F,BRN TIGER / WHITE  PIT BULL,2021-04-15,2 years 2 months,,,L2-SF
2023-04-26,D03,A898187,SWIMMER,N,GRAY / WHITE  AM PIT BULL TER,2019-04-26,4 years 1 months,,,L1-SINGLE
2023-05-06,D04,A898422,BOWSER,M,BR BRINDLE  AM PIT BULL TER,2021-05-06,2 years 1 months,Y,NEED RES,
2023-03-18,D06,A897267,BIG BOY,N,BRN TIGER / WHITE  PIT BULL / BOXER,2021-09-19,1 years 8 months,Y,MOVE UP,L2-OA
2023-06-03,D07,A899367,ROSCOE,M,GRAY / WHITE  PIT BULL,2021-06-07,2 years 0 months,,,L1
2023-05-01,D08,A898317,BLAKE,M,BLACK / WHITE  GERM SHEPHERD,2021-05-02,2 years 1 months,,,L3-SF
2023-06-12,D09,A899570,MANGO,M,TAN  CHINESE SHARPEI,2015-06-12,8 years 0 months,Y,RESCUE,
2023-03-20,D10,A897305,JUMPIE,N,WHITE  PIT BULL,2019-03-20,4 years 2 months,,,L3-OA/H/BH/SINGLE
2023-04-20,D11,A897080,BUTTERSCOTCH,N,TAN / WHITE  LABRADOR RETR,2022-03-12,1 years 3 months,Y,QUARANTINE,L3-OA
2023-06-01,D12,A899336,SALEM,M,BLACK / WHITE  GERM SHEPHERD,2022-06-01,1 years 0 months,,,STAFF ONLY
2023-04-22,D13,A898085,KIKO,M,BLACK / WHITE  PIT BULL,2020-04-22,3 years 1 months,Y,MOVE UP,L1-OD
2023-04-15,D14,A895236,CASTLE,N,GRAY  PIT BULL,2018-12-13,4 years 6 months,Y,MOVE UP,L1-SINGLE
2023-05-04,D15,A898381,MONDAY,M,BLACK  PIT BULL MIX,2019-05-05,4 years 1 months,Y,MOVE UP,L1
2023-04-17,D16,A897968,SYBIL,F,BLACK / WHITE  AM PIT BULL TER,2019-04-17,4 years 1 months,,,L1
2023-03-20,D17,A897304,LENA,F,GRAY / WHITE  BOXER MIX,2022-03-22,1 years 2 months,,,L2-OA/SD/H/SINGLE
2023-06-01,D18,A888133,BABY,S,BROWN  PIT BULL,2017-02-04,6 years 4 months,Y,OWNREQUEST,STAFF ONLY
2023-03-25,D19,A888962,MISS JACKSON,F,BLACK / WHITE  PIT BULL MIX,2021-04-03,2 years 2 months,Y,COURT,L1-FJ
2023-04-28,D20,A880807,TICO,N,TRICOLOR  PLOTT HOUND MIX,2020-11-06,2 years 7 months,,,L2-SD/SF
2023-04-28,D21,A898272,DOVE,S,WHITE / BROWN  AM PIT BULL TER,2021-03-21,2 years 2 months,,,L1
2023-06-12,D22,A899615,ASPARAGUS,F,GRAY / WHITE  PIT BULL,2022-06-13,1 years 0 months,Y,DECOM,L2-SF
2023-03-18,D24,A897269,MJ,F,BROWN  BULLDOG / PIT BULL,2022-07-18,0 years 11 months,Y,COURT,L1
2023-06-12,D25,A899593,FOLK ART,F,TAN  CHIHUAHUA SH,2020-06-14,3 years 0 months,Y,NEED RES,STAFF ONLY
2023-06-12,D27,A899594,LIL HUSK,M,SABLE  ALASKAN HUSKY MIX,2023-04-13,0 years 2 months,,,L1
2023-03-31,J01,A897564,DICE,N,BLACK / WHITE  PIT BULL MIX,2021-03-31,2 years 2 months,,,L2-SF/H
2023-03-10,J02,A897045,MR DIP,N,WHITE / BLACK  PIT BULL,2019-03-10,4 years 3 months,,,L1-SINGLE HOUSING
2023-01-06,J03,A895284,SHELBY,S,TAN / WHITE  PIT BULL,2018-01-08,5 years 5 months,,,L2-RG/OA
2023-02-16,J04,A871833,SASSY,S,TAN / WHITE  AM PIT BULL TER MIX,2016-02-05,7 years 4 months,,,L1-SINGLE HOUSING
2023-06-12,J06,A897384,KRISTINE,S,BROWN / WHITE  PIT BULL MIX,2022-12-24,0 years 5 months,,,L1
2023-05-08,J07,A898465,STAR LIGHT,F,BROWN / WHITE  PIT BULL MIX,2022-05-09,1 years 1 months,,,L2-SF/A
2023-04-11,J08,A896873,ROXY,F,WHITE / BLACK  GREAT DANE,2021-06-01,2 years 0 months,Y,COURT,L1-SF
2023-06-08,J09,A899487,COTTON CANDY,F,TAN / WHITE  LABRADOR RETR MIX,2022-08-08,0 years 10 months,,,L2-A
2023-04-24,J10,A898117,ELEKTRA,F,BR BRINDLE / WHITE  PIT BULL,2019-04-24,4 years 1 months,,,L1
2023-05-08,J11,A898472,ELEVEN,F,GRAY  PIT BULL,2022-11-08,0 years 7 months,,COURT,
2023-04-19,J12,A898013,KOBE,N,BLUE PT / WHITE  AM PIT BULL TER,2018-04-19,5 years 1 months,,,L1-SINGLE HOUSING
2023-04-30,J13,A898305,MAC,N,GRAY / WHITE  PIT BULL,2021-05-01,2 years 1 months,,,L1
2023-06-13,J14,A899650,COOL RANCH,M,BLACK / WHITE  AMER BULLDOG,2021-06-13,2 years 0 months,,,L1
2023-05-13,J15,A898382,TUESDAY,M,BLACK  PIT BULL MIX,2017-05-05,6 years 1 months,,,L1-SINGLE
2023-01-05,J16,A895606,EVANGELINE,S,BLACK / WHITE  PIT BULL,2021-01-05,2 years 5 months,Y,COURT,L2-OA/SINGLE
2023-06-10,J17,A899545,ARMADILLO,M,BR BRINDLE / WHITE  PIT BULL,2020-06-11,3 years 0 months,,,L1
2023-03-20,J18,A897293,SAUL,N,BROWN / WHITE  PIT BULL,2019-03-20,4 years 2 months,,,L1-SH
2022-11-01,J19,A894343,OTIS,N,BLACK  PIT BULL MIX,2021-10-31,1 years 7 months,,,L1-SINGLE
2023-03-01,J20,A896837,BABY GIRL,S,TAN / WHITE  PIT BULL,2021-03-01,2 years 3 months,,,L2-SF
2023-06-10,J21,A899458,PEANUT,F,TAN / WHITE  AM PIT BULL TER,2020-06-06,3 years 0 months,,,L2-SF/OD
2023-04-01,J22,A897607,WHIFF,S,WHITE / BROWN  AM PIT BULL TER,2019-04-02,4 years 2 months,,,L1
2023-03-21,J24,A897326,BRYCE,N,BLACK / WHITE  PIT BULL,2021-10-21,1 years 7 months,,,L2-OA/SINGLE
2023-06-12,J25,A899568,CHILLI MANGO,F,BLACK / WHITE  AIREDALE TERR MIX,2021-06-12,2 years 0 months,Y,TAG,L1
2023-06-06,J26,A899464,BRANDON,M,WHITE / GRAY  AM PIT BULL TER,2018-06-09,5 years 0 months,,,L1
2023-04-01,J27,A897601,PEABODY,N,BLACK / WHITE  PIT BULL,2021-04-01,2 years 2 months,,,L3-LR
2023-06-05,J28,A899416,CHRYSANTHEMUM,F,BL BRINDLE  PIT BULL / BOXER,2021-06-05,2 years 0 months,,,L1
2023-02-21,J29,A891710,MIKE,N,BLACK / WHITE  LABRADOR RETR MIX,2021-07-20,1 years 10 months,,,L2-OA/SINGLE
2023-04-20,J30,A898033,WILLOW,F,BLUE PT  AM PIT BULL TER,2018-04-20,5 years 1 months,,,L1
2022-12-02,J31,A895033,MCGREGOR,N,BROWN  PIT BULL,2020-12-02,2 years 6 months,,,L2-M&G/OA
2023-02-17,J32,A895643,MR. SUN,N,GRAY / WHITE  STAFFORDSHIRE,2022-02-23,1 years 3 months,,,L1
2023-03-10,J33,A897018,FORD,N,BROWN / WHITE  PIT BULL,2020-03-10,3 years 3 months,,,L1-OD
2023-06-08,J34,A899496,MALAYA,F,TAN  RHOD RIDGEBACK MIX,2022-06-08,1 years 0 months,,,L1
2023-06-09,J35,A899531,CIARA,F,ORANGE / WHITE  CHIHUAHUA LH / JACK RUSS TERR,2020-06-10,3 years 0 months,Y,ADOPTED PD,L1
2023-03-20,J36,A897300,LYSA,S,BR BRINDLE / WHITE  PIT BULL,2022-06-20,0 years 12 months,,,L2-OA
2023-05-08,J37,A898458,CADBARY,M,BR BRINDLE  LABRADOR RETR MIX,2022-08-09,0 years 10 months,,,L1
2023-02-28,J38,A896822,FINCH,N,BROWN / WHITE  PIT BULL MIX,2014-06-12,9 years 0 months,,,L1-SINGLE HOUSING
2022-12-07,J40,A894527,MONTEREY JACK,N,BLACK / WHITE  PIT BULL MIX,2018-11-09,4 years 7 months,Y,DOG TEST,L1-H/OD
2023-03-01,J42,A896826,RIVER,N,GRAY / WHITE  PIT BULL,2020-03-01,3 years 3 months,,,L2-BH
2023-04-20,J43,A898020,KODAK JACK,N,TAN  PIT BULL,2020-04-20,3 years 1 months,,,L1
2023-03-17,J44,A897235,KIN,N,BLACK / WHITE  LABRADOR RETR MIX,2021-03-17,2 years 2 months,,,L1-SH
2023-04-21,J45,A896037,JUPITER,N,BL BRINDLE / WHITE  PIT BULL,2020-01-28,3 years 4 months,,,L1-SH
2023-04-09,J46,A874902,TIGER,N,BR BRINDLE  AM PIT BULL TER,2019-07-13,3 years 11 months,,,L1-SH
2023-03-18,J47,A897270,CHARLIE,M,TAN / WHITE  PIT BULL,2021-03-19,2 years 2 months,Y,COURT,L2-OA
2023-04-28,MID A01,A898234,ANDY BENARD,N,WHITE  PIT BULL,2018-04-28,5 years 1 months,,,L1
2023-05-11,MID A02,A898518,DELILAH,S,TAN / WHITE  BLACK MOUTH CUR MIX,2022-05-11,1 years 1 months,,,L2-SF
2023-06-04,MID A03,A899405,POSTMAN,N,GRAY / WHITE  PIT BULL MIX,2019-06-04,4 years 0 months,,,L1
2023-06-02,MID A04,A899348,COCONUT SAM,M,BLACK / WHITE  PIT BULL,2020-06-02,3 years 0 months,Y,ADOPTED PD,L1
2023-05-30,MID A05,A899148,BRAZIL,F,TAN  PIT BULL,2016-05-31,7 years 0 months,,,L1
2023-06-01,MID A06,A899337,CEASER,M,BLACK / WHITE  PIT BULL,2017-06-01,6 years 0 months,,,L1
2023-06-04,MID A07,A899402,GREEK SALAD,F,WHITE / BROWN  PIT BULL,2022-08-04,0 years 10 months,,,L1
2023-06-01,MID A08,A899315,MIKO,F,GRAY  CATAHOULA MIX,2022-11-01,0 years 7 months,,,L1
2023-05-28,MID A10,A899093,JEAN,M,TAN / CREAM  SIBERIAN HUSKY,2021-05-28,2 years 0 months,,,L1
2023-05-18,MID A11,A892985,DORITO,N,BR BRINDLE / WHITE  AM PIT BULL TER,2020-09-03,2 years 9 months,,MICROCHIP,L1
2023-05-22,MID A12,A898958,MILA,F,BROWN  PIT BULL,2020-05-23,3 years 0 months,,,L1
2023-05-23,MID A13,A898984,SMOKE,M,GRAY / WHITE  PIT BULL,2020-05-23,3 years 0 months,Y,NEED RES,L1
2023-05-23,MID A14,A898982,LUCKY,M,WHITE / BROWN  AM PIT BULL TER,2020-05-23,3 years 0 months,,,L2-SF
2023-06-01,MID A15,A899333,LOLA,F,BR BRINDLE / WHITE  PIT BULL,2021-06-07,2 years 0 months,,,L1
2023-06-03,MID A16,A899368,SIKU,M,BROWN / WHITE  ALASK MALAMUTE,2022-08-04,0 years 10 months,Y,ADOPTED PD,L1
2023-06-03,MID A16,A899369,SAKARI,F,BLACK / WHITE  ALASK MALAMUTE,2022-06-04,1 years 0 months,Y,ADOPTED PD,L1
2023-05-30,MID A17,A899141,HAMMOCK,M,BRN TIGER  AM PIT BULL TER,2020-05-30,3 years 0 months,,,L1
2023-05-18,MID A18,A898764,RIHANNA,F,BR BRINDLE  TENN TR BRINDLE,2022-05-18,1 years 0 months,,,L1
2023-06-01,MID A19,A890336,MAXIMUS,N,BROWN / WHITE  AM PIT BULL TER MIX,2021-05-22,2 years 0 months,,,L2-OA/OD
2023-06-02,MID A20,A899361,MOUSE,F,BLACK / WHITE  PIT BULL,2020-06-04,3 years 0 months,,,L1
2023-04-26,MID A21,A898169,PAM BEASLEY,S,WHITE / BROWN  LABRADOR RETR MIX,2022-04-26,1 years 1 months,,,L1
2023-06-12,MID A22,A899142,HOT ROD,M,BROWN / WHITE  PIT BULL,2021-05-30,2 years 0 months,Y,NEED RES,L1
