intake date,Kennel,AID,name,sx,description,dob,Age,hold?,reason,level
2023-06-04,MID A23,A899401,SOUR CREAM,M,BROWN / WHITE  PIT BULL,2022-08-04,0 years 10 months,Y,ADOPTED PD,L1
2023-05-15,MID A24,A898634,SIDNEY,M,BLACK / WHITE  GERM SHEPHERD MIX,2022-07-16,0 years 11 months,,,L2-SD/SF/RG
2023-06-13,MID A26,A891982,VIVA,S,WHITE  PIT BULL,2018-07-28,4 years 10 months,,FOS/ADOP,L1-ONLY DOG
2023-06-10,MID A27,A898803,ZIZZY,F,BR BRINDLE  AM PIT BULL TER MIX,2022-05-19,1 years 0 months,,,L1
2023-05-31,MID A28,A899273,WYATT,F,GRAY  PIT BULL,2022-08-01,0 years 10 months,,,L1
2023-05-31,MID B01,A889633,LIGHTNING,N,GRAY / WHITE  AM PIT BULL TER,2021-11-19,1 years 6 months,,,L1
2023-05-24,MID B02,A899033,ARMANI,M,BLACK / WHITE  AM PIT BULL TER,2022-10-24,0 years 7 months,,,L1
2023-06-10,MID B03,A897141,TRIP,N,BLACK / WHITE  BLUE HEELER,2022-03-14,1 years 3 months,,,L2-OA/RG/SINGLE
2023-05-16,MID B04,A898647,FERDINAND,M,BR BRINDLE  PIT BULL,2020-05-16,3 years 0 months,,,L1
2023-05-16,MID B05,A898663,CRYSTAL,F,WHITE / TAN  PIT BULL MIX,2022-05-17,1 years 0 months,,,L1
2023-05-16,MID B06,A898652,LIL,M,BROWN / WHITE  LABRADOR RETR MIX,2021-05-16,2 years 0 months,,,
2023-05-16,MID B07,A898651,BIG,M,BROWN / WHITE  LABRADOR RETR MIX,2021-05-16,2 years 0 months,,,L1
2023-04-28,MID B08,A896530,MYLES,N,BLUE MERLE / WHITE  CATAHOULA MIX,2021-02-15,2 years 3 months,,,L1
2023-06-15,MID B08,A898609,DYSON,M,BR BRINDLE / WHITE  PIT BULL MIX,2022-06-01,1 years 0 months,,,L1
2023-06-13,MID B09,A898389,MAY,F,WHITE / BR BRINDLE  PIT BULL,2020-05-05,3 years 1 months,,,L1
2023-06-11,MID B10,A898983,CHARM,S,WHITE  AM PIT BULL TER,2020-05-23,3 years 0 months,,,L1
2023-05-22,MID B11,A898955,CASH,M,BROWN  LABRADOR RETR MIX,2021-05-22,2 years 0 months,,,L1
2023-05-19,MID B12,A898810,PUPTART,M,BL BRINDLE / BROWN  BOXER / AM PIT BULL TER,2022-05-19,1 years 0 months,,,L1
2023-04-06,MID B13,A897696,BRIOCHE BUN,S,BROWN  PIT BULL,2021-04-06,2 years 2 months,,,L1
2023-05-28,MID B14,A899128,HOWLY,M,BLACK / TRICOLOR  PIT BULL MIX,2022-08-28,0 years 9 months,,,L1
2023-05-15,MID B15,A898600,FLORENCE,F,WHITE  PIT BULL,2019-05-15,4 years 1 months,,,L1
2023-05-18,MID B16,A898787,RALPHUS,M,BROWN  AM PIT BULL TER MIX,2021-05-19,2 years 0 months,,,
2023-05-18,MID B17,A898788,ICE CREAM SANDWICH,M,BLACK / WHITE  AM PIT BULL TER,2021-11-18,1 years 6 months,,,
2023-06-13,MID B19,A898480,ROCCO,N,WHITE / GRAY  LABRADOR RETR MIX,2022-03-27,1 years 2 months,,,
2023-04-13,MID B20,A897309,SWEETPEA,S,BLACK  LABRADOR RETR MIX,2021-03-21,2 years 2 months,,,L2-OA/SINGLE
2023-05-23,MID B21,A898877,BAM BAM,M,BLUE  PIT BULL MIX,2022-05-23,1 years 0 months,,,
2023-06-02,MID B22,A899340,SEABOARD,M,WHITE / BROWN  AM PIT BULL TER,2022-10-04,0 years 8 months,,,L1
2023-05-25,MID B23,A895400,DONNER,S,BLACK / WHITE  PIT BULL,2021-12-21,1 years 5 months,,,L1-SINGLE
2023-06-12,MID B24,A899575,SOPHIE,S,BROWN  LABRADOR RETR / GERM SHEPHERD,2014-06-14,9 years 0 months,Y,NEED RES,L1
2023-05-22,MID B25,A898875,QUEEN,F,BROWN  MASTIFF,2021-05-22,2 years 0 months,,,
2023-06-02,MID B26,A899350,TRACKER,M,GRAY / WHITE  PIT BULL,2021-12-04,1 years 6 months,Y,NEED RES,L1
2023-05-23,MID B27,A898985,PATCH,M,BROWN / WHITE  AM PIT BULL TER,2019-05-23,4 years 0 months,,,L1
2023-02-02,MID B28,A896135,PENGUIN,N,BROWN / WHITE  PIT BULL,2020-02-02,3 years 4 months,,,L1
2023-05-27,MID B29,A899097,BULBASAUR,N,BLACK  LABRADOR RETR / AM PIT BULL TER,2022-09-27,0 years 8 months,,,L1
2023-06-04,MID B30,A899403,DELIGHT,F,BROWN / WHITE  PIT BULL,2022-08-04,0 years 10 months,,,L1
2023-06-05,MID B31,A899407,ALLY,F,BLACK / WHITE  LABRADOR RETR MIX,2020-06-05,3 years 0 months,,,L1
2023-05-27,MID B32,A899108,SABRINA,F,GRAY  MASTIFF,2020-05-28,3 years 0 months,,,L1
2023-06-05,MID B33,A899425,SUNSHINE BEAR,S,WHITE / TAN  SIBERIAN HUSKY MIX,2019-06-06,4 years 0 months,,,
2023-03-28,MID B34,A897472,ELVIS,N,BR BRINDLE / WHITE  PIT BULL,2021-03-28,2 years 2 months,,,L1-SH/M&G
2023-03-20,MID B35,A894657,LOUIEN,N,TAN / WHITE  BOXER MIX,2022-06-16,0 years 12 months,,,L1
2023-03-15,MID B36,A894332,CASPER,N,TAN  GERM SHEPHERD,2022-05-01,1 years 1 months,,,L2-BR/OA
2023-05-16,MID C01,A895623,BUDDY,N,WHITE / BLACK  AM PIT BULL TER MIX,2021-02-01,2 years 4 months,,,L2-LR
2023-06-05,MID C02,A899421,WESLEY,N,BR BRINDLE  MASTIFF,2018-06-06,5 years 0 months,,,L1
2023-06-10,MID C04,A899032,THOR,N,BLACK / BROWN  ROTTWEILER,2021-05-24,2 years 0 months,,,L2 RG
2023-06-05,MID C05,A898626,RAMBO,M,TRICOLOR  LABRADOR RETR MIX,2022-07-06,0 years 11 months,,,L1
2023-05-30,MID C06,A896417,BOSCOE,N,WHITE / BROWN  PIT BULL,2019-02-12,4 years 4 months,,,L1-OD/SH
2023-05-30,MID C07,A899133,MEATLOAF,M,BROWN / WHITE  PIT BULL,2021-05-30,2 years 0 months,,,L1
2023-06-01,MID C08,A893105,MARCO,N,BLONDE / WHITE  PIT BULL,2022-04-08,1 years 2 months,,,L1
2023-05-22,MID C09,A898964,GUMMYBEAR,M,BLACK / WHITE  AM PIT BULL TER,2020-05-22,3 years 0 months,,,
2023-06-08,MID C29,A899483,RASPBERRY,N,BL BRINDLE  GERM SHEPHERD MIX,2020-06-08,3 years 0 months,,,L1
2023-04-22,MID C30,A898079,LULU,S,WHITE / BR BRINDLE  PIT BULL,2022-04-23,1 years 1 months,,,L1
2023-01-17,MID C31,A895778,JELLA,S,WHITE / BROWN  AM PIT BULL TER,2018-01-17,5 years 4 months,,,L3- OA/LB
2023-06-03,MID C32,A899365,RUFFLES,M,WHITE / TAN  AM PIT BULL TER,2022-06-04,1 years 0 months,,,L1
2023-03-30,MID C33,A897546,ALLEGRA,S,BROWN / GRAY  PIT BULL / GERM SHEPHERD,2020-04-01,3 years 2 months,,,L1
2023-06-03,MID C34,A898999,CINDER,M,GRAY  GERM SHEPHERD MIX,2021-05-24,2 years 0 months,,,L1
2023-06-03,MID C35,A894189,AURORA,S,BR BRINDLE / BLACK  GERM SHEPHERD MIX,2020-10-25,2 years 7 months,,,L1-OD
2023-06-05,MID C36,A899418,TRISCUIT,M,BROWN  PIT BULL,2021-06-05,2 years 0 months,,,L1
2023-06-06,MID ISO B,A899439,BELLA,F,BLACK / WHITE  AM PIT BULL TER,2021-06-06,2 years 0 months,,,L1
2023-06-14,MID ISO B,A898347,SANDY,F,BLACK / WHITE  PIT BULL,2017-05-02,6 years 1 months,Y,MEDICAL,
2023-06-05,MID ISO C,A899422,WILLOW,F,BR BRINDLE / WHITE  PIT BULL MIX,2022-09-06,0 years 9 months,,,L1
2023-06-12,MID ISO C,A899049,CHEF,M,TAN / WHITE  PIT BULL MIX,2023-01-25,0 years 4 months,,,
2023-06-10,MID ISO D,A899539,CALGARY,N,WHITE / BR BRINDLE  JACK RUSS TERR MIX,2021-06-11,2 years 0 months,,,L1
2023-06-08,MID ISO D,A899501,LUZ,N,TAN / WHITE  LABRADOR RETR MIX,2022-10-09,0 years 8 months,Y,MICROCHIP,L1
2023-06-08,MID ISO D,A899503,HONEY BEAR,N,BLACK / WHITE  PIT BULL,2023-04-24,0 years 1 months,,,L1
2023-06-06,MID ISO D,A899078,NASH,M,WHITE / TAN  AM PIT BULL TER,2023-01-26,0 years 4 months,,,L1
2023-06-14,MID ISO D,A898338,COWBOY,M,WHITE / BLACK  PIT BULL,2023-04-20,0 years 1 months,Y,ADOPTED PD,
2023-06-14,MID ISO D,A898339,COWGIRL,F,WHITE / BLACK  PIT BULL,2023-04-20,0 years 1 months,,NEED RES,
2023-06-14,MID ISO D,A898345,WONDER GIRL,F,BLACK / WHITE  PIT BULL,2023-04-20,0 years 1 months,,,
2023-06-14,MID ISO D,A898344,WONDER BOY,M,BLACK / WHITE  PIT BULL,2023-04-20,0 years 1 months,,NEED RES,
2023-06-12,OFFICE CL2,A899571,VIOLET,F,GRAY / WHITE  PIT BULL,2020-06-12,3 years 0 months,Y,OWNREQUEST,L1
2023-06-12,OFFICE CL2,A899572,PIKACHU,F,GRAY / WHITE  PIT BULL,2023-04-12,0 years 2 months,Y,OWNREQUEST,
2023-06-12,OFFICE CL2,A899573,SQUIRTLE,F,GRAY / WHITE  PIT BULL,2023-04-12,0 years 2 months,Y,OWNREQUEST,
2023-06-12,OFFICE CL2,A899574,CHARMANDER,M,BROWN / WHITE  PIT BULL,2023-04-12,0 years 2 months,Y,OWNREQUEST,
2023-06-13,OFFICE KEN,A899670,JUICY PEAR,F,BLACK / TAN  GERM SHEPHERD,2019-06-14,4 years 0 months,Y,DECOM,L3-SF
2023-05-16,Q01,A898681,SASHA,F,BLACK / WHITE  PIT BULL,2021-11-16,1 years 7 months,Y,MOVE UP,L2-SD
2023-06-14,Q02,A899694,,M,BL BRINDLE / BROWN  LABRADOR RETR / AM PIT BULL TER,2021-12-14,1 years 6 months,,,
2023-06-06,Q04,A899452,WOODRUFF,M,WHITE  GERM SHEPHERD / SIBERIAN HUSKY,2020-06-07,3 years 0 months,,,
2023-05-25,Q05,A899052,HARVARD,M,BROWN  BLOODHOUND,,,Y,RESCUE,STAFF ONLY
2023-06-06,Q06,A899441,BUDDY,M,BLACK / WHITE  AM PIT BULL TER,2021-06-06,2 years 0 months,,,
2023-05-25,Q07,A899045,MISS RUBYS (ALLY),S,TAN / WHITE  PIT BULL / BOXER,2020-08-14,2 years 10 months,,,L2-SF/A
2023-05-26,Q08,A899070,MILK,M,BLACK / WHITE  PIT BULL,2020-05-26,3 years 0 months,Y,BEHAVIOR T,STAFF ONLY
2023-05-14,Q09,A898584,JEDI,M,BROWN  PIT BULL,2021-05-14,2 years 1 months,,,L1
2023-06-02,Q10,A899356,DIOR,M,BR BRINDLE / WHITE  PIT BULL MIX,2022-06-02,1 years 0 months,,,STAFF ONLY
2023-05-30,Q11,A897130,WALLY,N,BLACK  LABRADOR RETR,2022-03-14,1 years 3 months,Y,CAUTION,STAFF ONLY
2020-03-23,Q12,A871624,SAFFRON,M,BROWN / BLACK  CANE CORSO MIX,2018-01-27,5 years 4 months,Y,COURT,STAFF ONLY
2020-03-23,Q13,A871620,ANDRE,M,TAN / BLACK  CANE CORSO MIX,2018-01-27,5 years 4 months,Y,COURT,STAFF ONLY
2020-03-23,Q14,A871623,SKIP,M,BL BRINDLE / WHITE  CANE CORSO MIX,2018-01-27,5 years 4 months,Y,COURT,STAFF ONLY
2021-03-05,Q15,A871627,SKYLAR,F,BR BRINDLE / WHITE  CANE CORSO MIX,2018-01-27,5 years 4 months,Y,COURT,STAFF ONLY
2023-06-01,Q16,A899331,BESTIE,F,TAN / WHITE  AM PIT BULL TER,2022-06-02,1 years 0 months,Y,CAUTION,STAFF ONLY
2023-04-22,Q17,A898081,SKY,S,GRAY / WHITE  PIT BULL,2017-04-23,6 years 1 months,Y,CAUTION,STAFF ONLY
2022-01-12,Q18,A882956,BOO-BOO,M,BROWN / WHITE  AM PIT BULL TER,2021-01-01,2 years 5 months,Y,COURT,STAFF ONLY
2023-03-04,Q19,A896911,CHARCOAL,N,BLACK / WHITE  AM PIT BULL TER,2021-09-04,1 years 9 months,Y,CAUTION,STAFF ONLY
2023-06-05,Q20,A899429,,F,WHITE / TAN  PIT BULL MIX,2021-06-05,2 years 0 months,Y,QUARANTINE,
2022-01-12,Q21,A872527,UNO,M,GRAY / BROWN  CANE CORSO,2020-03-05,3 years 3 months,Y,COURT,STAFF ONLY
2023-05-27,Q22,A899104,PABLO,M,GRAY / WHITE  PIT BULL,2014-05-27,9 years 0 months,Y,NEED RES,STAFF ONLY
2023-06-10,Q23,A899546,CHARLIE,M,WHITE / BROWN  GREAT PYRENEES / LABRADOR RETR,2021-06-10,2 years 0 months,Y,CAUTION,STAFF ONLY
2023-06-10,Q24,A886632,TINSEL,N,BLACK / WHITE  AM PIT BULL TER,2019-11-18,3 years 6 months,Y,QUARANTINE,STAFF ONLY
2023-06-03,Q25,A899373,HERMES,M,BROWN / BLACK  GERM SHEPHERD,2022-06-03,1 years 0 months,Y,CAUTION,STAFF ONLY
2023-06-11,Q26,A899556,BEAR,M,BROWN / BLACK  GERM SHEPHERD / BOXER,2022-02-22,1 years 3 months,Y,CAUTION,
2023-03-03,Q27,A896900,GHOST BROWN,M,WHITE / GRAY  PIT BULL,2020-09-03,2 years 9 months,Y,COURT,STAFF ONLY
2023-04-27,Q28,A898229,WALDO,F,BLACK / TAN  GERM SHEPHERD,2020-04-27,3 years 1 months,Y,BEHAVIOR T,L3-SD
2023-03-21,Q29,A875371,BLUE,M,BROWN / WHITE  AM PIT BULL TER,2020-01-02,3 years 5 months,Y,COURT,STAFF ONLY
2023-05-18,Q30,A898789,ZEUS COLLAR,M,BROWN / BLACK  PRESA CANARIO,2022-05-18,1 years 0 months,Y,NEED RES,L1
2023-01-07,Q31,A895645,WHITE HEAD,M,WHITE  AM PIT BULL TER,2022-03-08,1 years 3 months,Y,COURT,L2-BH
2023-06-14,RECEIVING,A899699,MISSLE,M,BROWN / WHITE  PIT BULL,2019-06-14,4 years 0 months,,,
2023-06-15,RECEIVING,A899713,CHEW,M,BLUE BRIND / WHITE  PIT BULL,,,,,
2023-06-15,RECEIVING,A899718,LIGHTNING,M,TRICOLOR  GERM SHEPHERD,,,,,
2023-06-15,RECEIVING,A897584,RUBY MAE,S,GRAY  LABRADOR RETR,2021-10-02,1 years 8 months,,,L1
2023-06-14,RECEIVING,A899673,,M,BLACK  CANE CORSO,2021-06-14,2 years 0 months,,,
2023-06-14,RECEIVING,A899680,,M,WHITE  GERM SHEPHERD MIX,2020-06-14,3 years 0 months,,,
2023-06-14,RECEIVING,A880990,BABY BOY,N,BLACK / WHITE  AMERICAN STAFF,2020-10-12,2 years 8 months,Y,MICROCHIP,
2023-04-01,S01,A499592,LUNA,S,WHITE / BROWN  AM PIT BULL TER MIX,2014-11-05,8 years 7 months,,,L1-M&G/HOUSE SINGLE
2023-06-12,S02,A894064,BAKER,F,TAN  PIT BULL,2021-12-20,1 years 5 months,,,L1
2023-02-15,S03,A896053,LOTTIE,S,BLACK / WHITE  PIT BULL MIX,2021-01-29,2 years 4 months,,,L2-OA
2023-04-21,S04,A898064,APRIL,F,WHITE / BROWN  AM PIT BULL TER,2020-04-21,3 years 1 months,,,L1-SINGLE
2023-04-14,S05,A897895,MARLEY,F,BLACK / WHITE  PIT BULL,2019-04-14,4 years 2 months,,,L2-LR/A
2023-06-12,S06,A899370,CAKE,M,WHITE / BROWN  AM PIT BULL TER,2022-08-13,0 years 10 months,,,L1
2023-03-12,S07,A857839,ANNA,S,GRAY / WHITE  AM PIT BULL TER,2018-02-08,5 years 4 months,,,L1-SINGLE/FJ
2023-05-11,S08,A898511,PUMPERNICKEL,S,GRAY  PIT BULL,2022-05-11,1 years 1 months,,,L1
2023-05-08,S09,A898464,SILK,S,WHITE / BLACK  PIT BULL,2016-05-08,7 years 1 months,,,L1-SINGLE HOUSING
2022-12-27,S10,A895475,PARK CITY,N,BLK SMOKE  AM PIT BULL TER,2019-12-27,3 years 5 months,,,L2-OA/OD
2023-06-11,S11,A899566,CRUSHED PINEAPPLE,F,BLACK / WHITE  AM PIT BULL TER,2017-06-11,6 years 0 months,,,L1
2023-04-20,S12,A898037,LOLA,S,BLACK / WHITE  AM PIT BULL TER,2022-04-20,1 years 1 months,,,L1
2023-04-06,S13,A897712,DREAM,S,BR BRINDLE / WHITE  PIT BULL,2019-04-06,4 years 2 months,,,L1
2023-03-28,S14,A897470,DEJA,S,RED / WHITE  PIT BULL MIX,2021-03-28,2 years 2 months,,,L1-SINGLE
2023-06-11,S15,A899561,MARCUS,M,WHITE  LABRADOR RETR / AUST SHEPHERD,2022-08-12,0 years 10 months,,,L1
2023-06-13,S16,A899649,BLUE BELL,F,GRAY / WHITE  AMER BULLDOG,2021-06-13,2 years 0 months,,,L1
2023-04-26,S17,A898174,RHENA,F,GRAY / WHITE  PIT BULL MIX,2018-04-26,5 years 1 months,,,L1
2023-02-14,S18,A896529,SLIM,N,BLACK / WHITE  AM PIT BULL TER,2019-02-14,4 years 4 months,,,L1-SH
2023-05-01,S19,A898323,SPICE,N,BROWN / WHITE  LABRADOR RETR MIX,2022-05-02,1 years 1 months,Y,DOG TEST,L2- LB/SH
2023-04-15,S20,A883705,SNOOP,N,BROWN / BLACK  BLACK MOUTH CUR,2021-05-26,2 years 0 months,,,L1-SH
2023-06-11,S21,A899559,OLLIE BROWN,M,BR BRINDLE  AM PIT BULL TER,2022-06-11,1 years 0 months,,,L1
2023-04-19,S22,A898014,JAYLEN,N,GRAY / WHITE  AM PIT BULL TER,2021-04-19,2 years 1 months,,,L1-SH
2023-02-12,S23,A896433,NARCISSA,S,WHITE / BROWN  AM PIT BULL TER,2020-02-12,3 years 4 months,,,L3-H/SH
2023-02-15,S24,A896532,CURTIS,N,BLACK  LABRADOR RETR MIX,2020-02-15,3 years 4 months,Y,NEED RES,L2-SF
2022-11-09,S25,A873763,BOCA RATON,N,WHITE / BROWN  AM PIT BULL TER MIX,2018-05-24,5 years 0 months,,,L1-OD
2023-03-17,S26,A897209,SIMON,N,RED / WHITE  AM PIT BULL TER,2021-03-17,2 years 2 months,,,L1-OD
2023-02-03,SBOND1,A896158,ARTHUR,N,TAN  RHOD RIDGEBACK,2017-02-04,6 years 4 months,,,L1
2023-06-12,SBOND2,A899590,LUIS,M,GRAY / WHITE  PIT BULL,2020-06-12,3 years 0 months,,,L2-SF
2023-03-03,T01,A896881,FANCY,S,WHITE / BROWN  PIT BULL,2019-03-03,4 years 3 months,,,L1
2023-02-07,T02,A890468,QUAVO,N,BLACK / WHITE  PIT BULL,2019-05-30,4 years 0 months,,,L1-M&G/SINGLE
2023-04-22,T03,A898074,OZZIE,M,GRAY / WHITE  PIT BULL,2018-04-22,5 years 1 months,,,L2-RG
2023-03-17,T04,A897219,HOLDEN,N,WHITE / TAN  AM PIT BULL TER,2021-03-17,2 years 2 months,,,L1
2023-01-20,T05,A895847,NATHAN,N,BLACK / WHITE  PIT BULL,2019-01-20,4 years 4 months,,,L1-SINGLE
2023-05-14,T06,A881466,APACHE,N,BROWN / WHITE  AM PIT BULL TER,2020-05-04,3 years 1 months,,,L2-OA/SH
2023-04-20,T07,A898034,EXCITEMENT,N,BLACK  LABRADOR RETR MIX,2021-10-21,1 years 7 months,,,L2-SF/H/SINGLE
2023-04-01,T08,A897598,TROOPER,N,BLACK / WHITE  PIT BULL,2021-04-01,2 years 2 months,,,L2-OA/SINGLE
2023-01-26,T09,A895937,BENZ,N,BROWN / WHITE  LABRADOR RETR MIX,2021-07-26,1 years 10 months,,,L1-SH
2022-10-30,T10,A873225,CHANCE,N,BLACK  AM PIT BULL TER,2019-04-23,4 years 1 months,,,L1
2023-01-27,T11,A896006,PRISCILLA,S,WHITE / BLACK  PIT BULL,2022-04-27,1 years 1 months,,,L2-BR/RG
2023-06-08,T12,A899498,MICHAEL,M,BLACK  PIT BULL,2016-06-09,7 years 0 months,Y,DOG TEST,L1-SH
2023-03-21,T13,A897317,LADY,F,BLACK / WHITE  PIT BULL / LABRADOR RETR,2020-03-21,3 years 2 months,Y,COURT,L1-SH
2023-04-20,T14,A898038,DINO,N,GRAY  PIT BULL,2021-10-20,1 years 7 months,,,L2-BR
2023-02-26,T16,A896754,SMOKEY,N,BLACK / WHITE  LABRADOR RETR,2021-08-26,1 years 9 months,,,L2-OA/SINGLE
2023-06-08,T17,A899504,WITHERSPOON,F,CREAM / WHITE  ANATOL SHEPHERD MIX,2022-08-09,0 years 10 months,,,L1
2023-02-26,T19,A896747,HAROLD,N,GRAY / WHITE  AM PIT BULL TER,2018-02-26,5 years 3 months,,,L1-SINGLE HOUSING
2023-06-08,T20,A899509,RICKY BOBBY,M,TAN / WHITE  PIT BULL,2018-06-10,5 years 0 months,,,L1
2023-06-09,T21,A899533,HURLEY,M,BR BRINDLE / BLACK  PIT BULL / BELG MALINOIS,2022-06-09,1 years 0 months,,,L1
2023-03-09,T22,A895527,DOC,N,BROWN / WHITE  LABRADOR RETR / PIT BULL,2020-01-02,3 years 5 months,,,L1-H/HOUSE SINGLE
2023-04-30,T23,A889270,AURORA,S,TAN / WHITE  LABRADOR RETR,2020-04-01,3 years 2 months,,,L2/RG
2023-05-28,T24,A897078,BELLA,S,TAN / WHITE  LABRADOR RETR,2021-03-12,2 years 3 months,,,L1-SH
2023-04-07,T25,A897773,BRANDO,N,BROWN / WHITE  LABRADOR RETR MIX,2021-04-07,2 years 2 months,,,L1-SINGLE
2023-02-09,T26,A894905,BILLY,N,TAN  PIT BULL,2019-11-28,3 years 6 months,,,L1
2022-11-20,T27,A893530,APPLE YUM,N,BROWN  PIT BULL,2019-09-27,3 years 8 months,,,L1-SINGLE
2023-03-18,T28,A897271,SMOKE,F,TAN / WHITE  PIT BULL,2022-06-24,0 years 11 months,Y,COURT,STAFF ONLY
2023-02-04,T29,A896183,EVANDER,N,BROWN / WHITE  AM PIT BULL TER,2019-02-04,4 years 4 months,,,L1
2023-04-12,T30,A890147,OG,S,GRAY / BROWN  AMER BULLDOG MIX,2020-05-13,3 years 1 months,,,L1-SINGLE HOUSING
2023-04-20,T31,A896575,PRILLA,S,BLUE PT / WHITE  AM PIT BULL TER,2021-08-16,1 years 10 months,,,L1
2023-04-15,T32,A897920,KASI,F,BLACK / WHITE  PIT BULL,2015-04-15,8 years 2 months,,,L1
2023-03-30,T33,A894080,BRAD,N,BR BRINDLE  AMERICAN STAFF MIX,2022-02-20,1 years 3 months,,,L2-RG/OA
2023-01-28,T34,A895596,COMMANDER KEEN,N,TAN / WHITE  LABRADOR RETR MIX,2022-01-05,1 years 5 months,,,L2-OA/M&G
2023-02-13,T36,A896481,SIWA,N,BROWN / WHITE  PIT BULL,2021-02-13,2 years 4 months,,,L1-SINGLE
2023-04-02,T37,A897623,EDDIE,N,BLACK / WHITE  PIT BULL,2019-04-04,4 years 2 months,,,L2-OA/SINGLE
2023-04-28,T40,A898237,SANCHEZ,N,GRAY / WHITE  PIT BULL,2020-04-28,3 years 1 months,,,L1
2023-04-10,T41,A887186,BRANDY,S,TAN  AM PIT BULL TER MIX,2018-12-17,4 years 6 months,,,L1
2022-01-12,T42,A877663,KIRA,F,GRAY / WHITE  AM PIT BULL TER,2016-11-02,6 years 7 months,Y,COURT,L1
2022-12-09,T43,A895156,LINDSEY,S,BLACK / WHITE  AM PIT BULL TER MIX,2018-12-10,4 years 6 months,,,L1-SINGLE/M&GREQ
2023-03-24,T44,A897413,GRUBER,S,BR BRINDLE / WHITE  PIT BULL,2020-09-24,2 years 8 months,,,L1-SINGLE
2023-04-03,T45,A897633,SKEETER,N,BLACK / WHITE  PIT BULL MIX,2021-04-03,2 years 2 months,,,L1
2023-04-23,T46,A898097,SHAMROCK,N,GRAY / WHITE  PIT BULL,2021-08-24,1 years 9 months,,,L1-SH
2022-12-02,T47,A895017,HADES,N,TAN / WHITE  AM PIT BULL TER MIX,2021-12-02,1 years 6 months,,,L2-RG/M&G/SINGLE
2023-01-28,T48,A894930,ALEXANDER,N,GRAY  PIT BULL,2019-11-29,3 years 6 months,,,L1
2023-04-23,T49,A895545,MILTON,N,BROWN  AM PIT BULL TER,2022-03-08,1 years 3 months,,,L2-OA
2023-04-14,VET FCAS,A897918,JADAHN,N,BR BRINDLE  AMERICAN STAFF,2018-04-14,5 years 2 months,,,L1-MEET&GREET REQ
2023-04-27,VET FCAS,A898225,KEVIN,N,BROWN / WHITE  PIT BULL,2019-04-27,4 years 1 months,,,L1-SINGLE
2023-06-13,VET FCAS,A898343,STUNTMAN,M,BLACK / WHITE  PIT BULL,2023-04-20,0 years 1 months,Y,ADOPTED PD,
2023-05-29,VET FCAS,A899130,MOON PIE,M,BROWN / WHITE  AM PIT BULL TER,2020-05-29,3 years 0 months,,CONFISCATE,L1
2023-06-10,VET FCAS,A899538,NASH,N,BLACK / BROWN  DACHSHUND,2022-09-10,0 years 9 months,,,L1
2023-06-11,VET FCAS,A899552,ROBIN,N,REDDISH BR / WHITE  CHIHUAHUA SH / SHIBA INU,2020-06-12,3 years 0 months,Y,ADOPTED PD,L1
2023-06-07,VET FCAS,A899467,BOJACK,N,BR BRINDLE  CANE CORSO,2021-06-07,2 years 0 months,Y,MICROCHIP,L1
2023-06-13,VET FCAS,A898340,SANDMAN,M,TAN / WHITE  PIT BULL,2023-04-20,0 years 1 months,Y,ADOPTED PD,
2023-06-14,VET2,A899669,HANDSOME JACK,M,BRN MERLE  CATAHOULA MIX,2023-03-30,0 years 2 months,Y,,
2023-04-27,VET3,A898222,BACKLUND,M,TAN / WHITE  PIT BULL MIX,2019-04-28,4 years 1 months,,,L1
2023-05-21,VET4,A898831,KEN,M,BROWN / WHITE  PIT BULL,2021-05-31,2 years 0 months,,,L1
2023-06-08,VET5,A899480,ROOTBEER,N,BLONDE  PIT BULL,2020-06-08,3 years 0 months,Y,NEED RES,
